ID,Date1,Temperature,Humidity
1,2014-02-13,3.0,93
2,2014-02-13,7.0,66
3,2014-02-13,2,91
4,2014-02-13,3,84
5,2014-02-13,6,62
6,2014-02-13,4.0,75
7,2014-02-13,6.0,70
8,2014-02-13,6,56
9,2014-02-13,4.0,87
10,2014-02-13,4.0,75
11,2014-02-13,3,88
12,2014-02-13,3.0,93
13,2014-02-13,4.0,87
14,2014-02-13,3.0,81
15,2014-02-13,6.0,76
16,2014-02-13,6.0,76
17,2014-02-13,5.0,70
18,2014-02-13,6,69
19,2014-02-13,2.0,93
20,2014-02-13,3.0,81
21,2014-02-13,4.0,75
22,2014-02-13,6,55
23,2014-02-13,2.0,87
24,2014-02-13,3,73
25,2014-02-13,3.0,93
26,2014-02-13,3.0,87
27,2014-02-13,3,86
28,2014-02-13,6.0,66
29,2014-02-13,2.0,93
30,2014-02-13,2,87
31,2014-02-13,6,66
32,2014-02-13,2.0,93
33,2014-02-13,6.0,76
34,2014-02-13,6.0,76
35,2014-02-13,3.0,81
36,2014-02-13,4,85
37,2014-02-13,4.0,87
38,2014-02-13,4.0,87
39,2014-02-13,5,62
40,2014-02-13,2.0,93
41,2014-02-13,6.0,70
42,2014-02-13,4.0,75
43,2014-02-13,7.0,66
44,2014-02-13,4,66
45,2014-02-13,4.0,75
46,2014-02-13,3.0,93
47,2014-02-13,4,72
48,2014-02-13,5.0,70
49,2014-02-13,3.0,87
50,2014-02-13,3.0,87
51,2014-02-13,2.0,93
52,2014-02-13,3,73
53,2014-02-13,3,71
54,2014-02-13,5.0,70
55,2014-02-13,4.0,75
56,2014-02-13,4.0,75
57,2014-02-13,2,89
58,2014-02-13,4,67
59,2014-02-13,3.0,81
60,2014-02-13,7.0,66
61,2014-02-13,5.0,81
62,2014-02-13,4,82
63,2014-02-13,5.0,81
64,2014-02-13,5,60
65,2014-02-13,4,65
66,2014-02-13,5.0,70
67,2014-02-13,4.0,75
68,2014-02-13,4.0,75
69,2014-02-13,3.0,81
70,2014-02-13,6.0,66
71,2014-02-14,1.0,87
72,2014-02-14,4.0,87
73,2014-02-14,6.0,81
74,2014-02-14,3,89
75,2014-02-14,6.0,76
76,2014-02-14,3.0,93
77,2014-02-14,4,76
78,2014-02-14,2.0,93
79,2014-02-14,2.0,93
80,2014-02-14,5.0,87
81,2014-02-14,4,82
82,2014-02-14,4.0,81
83,2014-02-14,2.0,93
84,2014-02-14,3.0,87
85,2014-02-14,6.0,76
86,2014-02-14,6.0,81
87,2014-02-14,1,86
88,2014-02-14,6,72
89,2014-02-14,3,76
90,2014-02-14,4.0,81
91,2014-02-14,6,72
92,2014-02-14,2,89
93,2014-02-14,4.0,81
94,2014-02-14,2,87
95,2014-02-14,2.0,93
96,2014-02-14,3.0,93
97,2014-02-14,5.0,81
98,2014-02-14,3.0,87
99,2014-02-14,1,86
100,2014-02-14,6.0,76
101,2014-02-14,1.0,93
102,2014-02-14,6,67
103,2014-02-14,2,91
104,2014-02-14,6.0,76
105,2014-02-14,3.0,87
106,2014-02-14,5,67
107,2014-02-14,3.0,87
108,2014-02-14,5.0,76
109,2014-02-14,5.0,76
110,2014-02-14,1.0,93
111,2014-02-14,1.0,93
112,2014-02-14,4,77
113,2014-02-14,2,82
114,2014-02-14,2.0,93
115,2014-02-14,1.0,93
116,2014-02-14,4.0,81
117,2014-02-14,1.0,93
118,2014-02-14,1,86
119,2014-02-14,6,70
120,2014-02-14,1.0,93
121,2014-02-14,5.0,81
122,2014-02-14,4.0,81
123,2014-02-14,4,74
124,2014-02-14,1.0,93
125,2014-02-14,1.0,87
126,2014-02-14,3.0,87
127,2014-02-14,1,84
128,2014-02-14,6.0,76
129,2014-02-14,5.0,81
130,2014-02-14,6.0,81
131,2014-02-14,5.0,87
132,2014-02-14,3.0,87
133,2014-02-14,6,75
134,2014-02-14,4,79
135,2014-02-14,2,76
136,2014-02-14,2.0,81
137,2014-02-14,1.0,87
138,2014-02-14,2.0,93
139,2014-02-14,4.0,81
140,2014-02-15,4.0,87
141,2014-02-15,6.0,81
142,2014-02-15,4,80
143,2014-02-15,4.0,87
144,2014-02-15,3,74
145,2014-02-15,4.0,87
146,2014-02-15,4,77
147,2014-02-15,7.0,81
148,2014-02-15,7.0,81
149,2014-02-15,4.0,75
150,2014-02-15,7,73
151,2014-02-15,4.0,81
152,2014-02-15,4.0,81
153,2014-02-15,4.0,75
154,2014-02-15,4,75
155,2014-02-15,7,70
156,2014-02-15,4,78
157,2014-02-15,4,68
158,2014-02-15,9,49
159,2014-02-15,9.0,62
160,2014-02-15,7.0,81
161,2014-02-15,7,61
162,2014-02-15,7.0,81
163,2014-02-15,6,74
164,2014-02-15,8.0,62
165,2014-02-15,3.0,81
166,2014-02-15,6.0,81
167,2014-02-15,9.0,62
168,2014-02-15,4.0,87
169,2014-02-15,8.0,62
170,2014-02-15,4,80
171,2014-02-15,7.0,71
172,2014-02-15,4.0,87
173,2014-02-15,4.0,87
174,2014-02-15,8.0,71
175,2014-02-15,8.0,66
176,2014-02-15,7.0,76
177,2014-02-15,8,53
178,2014-02-15,8.0,66
179,2014-02-15,6,72
180,2014-02-15,9.0,62
181,2014-02-15,6.0,81
182,2014-02-15,3.0,87
183,2014-02-15,3,76
184,2014-02-15,8,48
185,2014-02-15,8,50
186,2014-02-15,4.0,81
187,2014-02-15,8,51
188,2014-02-15,7.0,71
189,2014-02-15,8,53
190,2014-02-15,8.0,62
191,2014-02-15,8.0,62
192,2014-02-15,4.0,75
193,2014-02-15,9,47
194,2014-02-15,4.0,87
195,2014-02-15,9.0,58
196,2014-02-15,4,74
197,2014-02-15,8.0,62
198,2014-02-15,4.0,87
199,2014-02-15,4,70
200,2014-02-15,4.0,75
201,2014-02-15,7,68
202,2014-02-15,8.0,62
203,2014-02-15,8.0,66
204,2014-02-15,9.0,62
205,2014-02-15,7.0,71
206,2014-02-15,4.0,81
207,2014-02-16,5,79
208,2014-02-16,5,78
209,2014-02-16,6.0,81
210,2014-02-16,5.0,81
211,2014-02-16,5.0,81
212,2014-02-16,4.0,81
213,2014-02-16,5,73
214,2014-02-16,5,78
215,2014-02-16,5.0,81
216,2014-02-16,6.0,76
217,2014-02-16,4.0,81
218,2014-02-16,6.0,81
219,2014-02-16,7.0,71
220,2014-02-16,5.0,87
221,2014-02-16,7,64
222,2014-02-16,6,70
223,2014-02-16,7,60
224,2014-02-16,7.0,71
225,2014-02-16,7.0,71
226,2014-02-16,4.0,81
227,2014-02-16,5.0,81
228,2014-02-16,4,73
229,2014-02-16,5.0,81
230,2014-02-16,5.0,87
231,2014-02-16,6.0,81
232,2014-02-16,5,76
233,2014-02-16,7.0,71
234,2014-02-16,4,73
235,2014-02-16,6,64
236,2014-02-16,4.0,75
237,2014-02-16,7.0,71
238,2014-02-16,4,77
239,2014-02-16,4,70
240,2014-02-16,6.0,81
241,2014-02-16,6,78
242,2014-02-16,7.0,71
243,2014-02-16,6.0,81
244,2014-02-16,5,73
245,2014-02-16,6,67
246,2014-02-16,5,79
247,2014-02-16,6.0,76
248,2014-02-16,5.0,87
249,2014-02-16,6.0,81
250,2014-02-16,5.0,81
251,2014-02-16,6.0,76
252,2014-02-16,7.0,71
253,2014-02-16,5.0,81
254,2014-02-16,6,66
255,2014-02-16,3.0,81
256,2014-02-16,6,72
257,2014-02-16,6.0,76
258,2014-02-16,6,68
259,2014-02-16,6.0,76
260,2014-02-16,3.0,81
261,2014-02-16,5.0,81
262,2014-02-16,5,71
263,2014-02-16,5.0,76
264,2014-02-16,4.0,81
265,2014-02-16,4.0,87
266,2014-02-16,5.0,81
267,2014-02-16,6.0,76
268,2014-02-16,5,77
269,2014-02-16,4.0,81
270,2014-02-16,5.0,87
271,2014-02-16,6,72
272,2014-02-16,7.0,71
273,2014-02-16,5.0,81
274,2014-02-16,7.0,71
275,2014-02-16,4.0,87
276,2014-02-16,6.0,76
277,2014-02-16,5.0,81
278,2014-02-16,4,79
279,2014-02-17,4,77
280,2014-02-17,7.0,66
281,2014-02-17,2,83
282,2014-02-17,1.0,93
