Country,Year,Nights
Belgium,2006,16039090
Bulgaria,2006,11944694
Czech Republic,2006,20090348
Denmark,2006,9453026
Germany,2006,52947373
Estonia,2006,3020367
Ireland,2006,21652000
Greece,2006,43055381
Spain,2006,224518083
France,2006,105865432
Croatia,2006,32858014
Italy,2006,156861341
Cyprus,2006,13310257
Latvia,2006,1872393
Lithuania,2006,1514197
Luxembourg,2006,2399913
Hungary,2006,10045891
Malta,2006,7094031
Netherlands,2006,26886500
Austria,2006,70017089
Poland,2006,10555119
Portugal,2006,26842277
Romania,2006,3242105
Slovenia,2006,4332049
Slovakia,2006,5058147
Finland,2006,5003750
Sweden,2006,10942968
United Kingdom,2006,90740612
Iceland,2006,1687744
Liechtenstein,2006,155171
Norway,2006,7921169
Switzerland,2006,0
Montenegro,2006,0
Former Yugoslav Republic of Macedonia,2006,0
Serbia,2006,0
Turkey,2006,0
Belgium,2007,16271311
Bulgaria,2007,12006786
Czech Republic,2007,20610186
Denmark,2007,9327579
Germany,2007,54485379
Estonia,2007,2915456
Ireland,2007,0
Greece,2007,48081473
Spain,2007,225450241
France,2007,108567043
Croatia,2007,33701925
Italy,2007,163465680
Cyprus,2007,13197004
Latvia,2007,1935984
Lithuania,2007,1609998
Luxembourg,2007,2328688
Hungary,2007,10170808
Malta,2007,7749831
Netherlands,2007,27952200
Austria,2007,71518637
Poland,2007,10918100
Portugal,2007,28669799
Romania,2007,3586439
Slovenia,2007,4707220
Slovakia,2007,5115168
Finland,2007,5328215
Sweden,2007,11200359
United Kingdom,2007,84690331
Iceland,2007,1838330
Liechtenstein,2007,167748
Norway,2007,8305287
Switzerland,2007,0
Montenegro,2007,0
Former Yugoslav Republic of Macedonia,2007,0
Serbia,2007,0
Turkey,2007,0
Belgium,2008,16360702
Bulgaria,2008,11791454
Czech Republic,2008,19987022
Denmark,2008,8918197
Germany,2008,56239679
Estonia,2008,2932662
Ireland,2008,0
Greece,2008,47973949
Spain,2008,223756216
France,2008,106993811
Croatia,2008,33902735
Italy,2008,161797434
Cyprus,2008,13208954
Latvia,2008,2115618
Lithuania,2008,1626829
Luxembourg,2008,2249545
Hungary,2008,10009531
Malta,2008,7581137
Netherlands,2008,25267600
Austria,2008,74730956
Poland,2008,10173237
Portugal,2008,28126716
Romania,2008,3359244
Slovenia,2008,5085308
Slovakia,2008,5144831
Finland,2008,5502554
Sweden,2008,10920106
United Kingdom,2008,80393221
Iceland,2008,1894457
Liechtenstein,2008,171425
Norway,2008,8119045
Switzerland,2008,0
Montenegro,2008,0
Former Yugoslav Republic of Macedonia,2008,579549
Serbia,2008,0
Turkey,2008,0
Belgium,2009,15451017
Bulgaria,2009,9460922
Czech Republic,2009,17746893
Denmark,2009,8299403
Germany,2009,54096574
Estonia,2009,2740696
Ireland,2009,0
Greece,2009,57413304
Spain,2009,200551728
France,2009,98705212
Croatia,2009,33357844
Italy,2009,159493866
Cyprus,2009,11666663
Latvia,2009,1699562
Lithuania,2009,1395899
Luxembourg,2009,2075831
Hungary,2009,9220148
Malta,2009,6550794
Netherlands,2009,25013700
Austria,2009,72224605
Poland,2009,9609447
Portugal,2009,25024678
Romania,2009,2667666
Slovenia,2009,4656825
Slovakia,2009,3707327
Finland,2009,4890006
Sweden,2009,11317502
United Kingdom,2009,79920519
Iceland,2009,2028069
Liechtenstein,2009,158414
Norway,2009,7500431
Switzerland,2009,0
Montenegro,2009,0
Former Yugoslav Republic of Macedonia,2009,575117
Serbia,2009,0
Turkey,2009,0
Belgium,2010,16169676
Bulgaria,2010,10547112
Czech Republic,2010,18365947
Denmark,2010,8981992
Germany,2010,59658760
Estonia,2010,3203721
Ireland,2010,0
Greece,2010,59184397
Spain,2010,213349649
France,2010,120390105
